ID,Name,Category,Price Tier,Neighborhood,Opening Hours,Closing Hours,Average Rating,Good for Kids
695,Authentic Oyster Bar,Thai,Cheap,Upper West Side,12:30,20:30,2,True
696,Elegant Pastry Shop,Mexican,Medium,Tribeca,12:30,23:30,4,False
697,Vintage Cafeteria,Mediterranean,Medium,Bedford-Stuyvesant,11:30,22:00,1,False
698,Palatable Tavern,Japanese,Cheap,Harlem,08:30,16:00,4,True
699,Flavorful Tea Room,Mediterranean,Medium,Belmont,11:00,17:00,2,False
700,Elegant Lounge,Italian,Medium,Flatbush,08:30,21:30,2,False
701,Urban Wine Bar,Chinese,Expensive,Tottenville,10:00,20:00,2,False
702,Sunset Pizzeria,American,Expensive,Chelsea,09:00,22:30,3,False
703,Wholesome Gelato Shop,Chinese,Medium,Woodside,09:30,23:00,3,True
704,Coastal Kitchenette,Japanese,Cheap,Ridgewood,09:00,19:30,2,True
705,Sapphire Pub,Italian,Medium,Harlem,08:30,18:30,4,False
706,Zen Taproom,Japanese,Expensive,Belmont,10:00,22:00,0,True
707,Rustic Joint,Mediterranean,Expensive,Greenpoint,09:00,18:00,0,True
708,Irresistible Burger Joint,French,Cheap,Prospect Heights,08:30,15:30,0,False
709,Serenity Bagel Shop,American,Medium,Harlem,08:00,16:00,5,True
710,Lakefront Tapas Bar,Thai,Cheap,Long Island City,11:30,22:00,3,True
711,Blue Bayou House,Italian,Medium,Soundview,11:30,22:30,3,True
712,Palm Tree Kitchenette,Italian,Expensive,Park Slope,11:30,17:00,2,False
713,Sandy Beach Inn,Mediterranean,Medium,Annadale,09:00,19:30,4,False
714,Island Tea Room,Mediterranean,Medium,Riverdale,08:30,19:00,4,False
715,Palm Tree Fish House,American,Cheap,Ridgewood,11:30,20:30,5,True
716,Homestyle Chocolate Shop,Mexican,Expensive,Mott Haven,12:00,23:30,3,False
717,Riverside Tiki Bar,Mexican,Cheap,Westerleigh,09:00,23:30,2,False
718,Vintage Grill,Thai,Cheap,Bushwick,08:00,17:30,5,False
719,Lakefront Deli,French,Medium,Riverdale,08:30,23:00,3,True
720,Gourmet Parlor,Mexican,Medium,Eltingville,11:00,19:30,3,False
721,Fusion Chophouse,Mexican,Cheap,Flatbush,11:30,23:30,4,False
722,Zen Deli,Thai,Cheap,Sunnyside,11:30,23:00,0,False
723,Retro Lodge,Japanese,Cheap,Sunnyside,09:30,19:30,5,False
724,Exquisite Burger Joint,French,Cheap,Harlem,10:30,18:00,4,False
725,Retro Bakery,Indian,Cheap,Crown Heights,08:30,21:30,4,True
726,Delectable Chocolate Shop,Mediterranean,Cheap,Tottenville,10:00,19:00,1,False
727,Blue Bayou Doughnut Shop,American,Expensive,Lower East Side,09:30,23:00,5,False
728,Crisp Court,Italian,Cheap,SoHo,12:30,23:30,2,False
729,Spicy Speakeasy,Chinese,Cheap,Jamaica,09:30,17:30,5,False
730,Tropical Brasserie,Thai,Medium,Brooklyn Heights,11:00,21:00,3,True
731,Scrumptious Grill,Chinese,Expensive,Long Island City,08:00,15:30,2,True
732,Divine Ice Cream Parlor,American,Expensive,Fordham,11:00,17:00,2,False
733,Palatable Restaurant,Thai,Expensive,Brooklyn Heights,10:30,18:30,2,True
734,Bamboo Grove Yogurt Shop,French,Expensive,Great Kills,09:30,15:00,0,True
735,Savory Hideaway,Mediterranean,Expensive,Forest Hills,10:30,20:30,0,True
736,Brick Oven Noodle House,French,Expensive,Astoria,12:30,20:30,4,False
737,Charming BBQ Joint,Mexican,Cheap,Fordham,08:00,22:00,0,True
738,Royal Cookie Shop,Italian,Expensive,Sunnyside,11:30,18:30,5,True
739,Tropical Steakhouse,Japanese,Cheap,Prospect Heights,12:30,23:00,0,False
740,Riverside Grill & Bar,Mediterranean,Cheap,Tompkinsville,10:00,23:00,5,True
741,Rooftop Place,Italian,Cheap,Flushing,08:00,22:30,2,False
742,Wholesome Joint,Thai,Cheap,Annadale,12:30,18:00,1,False
743,Maplewood Dive Bar,Italian,Cheap,Morris Park,08:00,22:00,2,True
744,Coconut Cove Cantina,Italian,Cheap,Chelsea,10:00,19:30,3,False
745,Succulent Inn,Italian,Medium,Morris Park,11:30,21:30,2,True
746,Orchid Bakery,American,Cheap,Bedford-Stuyvesant,10:30,16:00,5,False
747,Ivy League Court,American,Medium,Fordham,10:00,19:30,1,True
748,Sizzling Cuisine,Japanese,Medium,Williamsburg,08:00,15:00,4,True
749,Oceanfront Crepery,Indian,Medium,Bedford-Stuyvesant,08:30,22:00,5,True
750,Fresh Kitchenette,Mexican,Expensive,Flushing,11:30,17:00,2,False
751,Highlands Lounge,Indian,Expensive,Ridgewood,10:00,22:30,3,True
752,Foggy Brewpub,Italian,Cheap,Chelsea,09:30,17:30,3,True
753,Brick Oven Hideaway,Indian,Cheap,Williamsburg,09:00,22:30,5,False
754,Savory Speakeasy,Thai,Cheap,Throgs Neck,10:00,22:30,3,True
755,Retro Inn,French,Cheap,Bushwick,11:00,18:30,4,True
756,Sapphire Gelato Shop,Indian,Expensive,Flushing,12:00,23:00,1,True
757,Palatable Spot,Italian,Cheap,Upper East Side,08:00,22:30,0,True
758,Sunny Cider House,Chinese,Medium,Prospect Heights,08:30,15:00,5,True
759,Juicy Boulangerie,Indian,Medium,Sunnyside,09:30,20:00,2,True
760,Aromatic Joint,Italian,Medium,St. George,12:30,21:30,1,False
761,Quaint Deli,Mexican,Expensive,New Dorp,10:30,20:30,3,False
762,Valley Taproom,Thai,Medium,Greenpoint,12:00,18:30,3,True
763,Fresh Tea Room,Mediterranean,Cheap,Bedford-Stuyvesant,09:00,19:00,2,True
764,Flavorful Doughnut Shop,Chinese,Cheap,Flushing,10:30,20:30,4,True
765,Sunset Parlor,Italian,Expensive,Upper West Side,08:00,19:30,5,True
766,Golden Harvest Taphouse,Italian,Expensive,Woodside,10:30,23:30,1,False
767,Scrumptious Bakery,French,Cheap,Westerleigh,11:30,18:00,2,False
768,Aromatic Fish House,Japanese,Cheap,Lower East Side,09:00,19:30,3,True
769,Ivy League Lodge,Italian,Expensive,New Dorp,09:30,23:00,5,False
770,Cherry Blossom Parlor,Indian,Expensive,Greenpoint,08:00,17:30,1,False
771,Zesty Noodle House,Japanese,Cheap,Chelsea,09:30,17:00,5,False
772,Juicy Vietnamese Restaurant,Chinese,Medium,Forest Hills,11:30,21:00,3,True
773,Retro Vineyard,Mediterranean,Expensive,Tottenville,11:30,18:00,5,False
774,Tender Joint,Indian,Medium,Astoria,08:30,21:30,2,False
775,Flavorful Bakery,Mediterranean,Cheap,Westerleigh,11:00,23:30,2,False
776,Riverside Whiskey Bar,Italian,Cheap,Brooklyn Heights,12:00,18:30,1,True
777,Rooftop Kitchen,Mediterranean,Cheap,Fordham,11:30,18:30,5,False
778,Elegant Grill & Bar,Chinese,Medium,Morris Park,10:00,23:30,2,True
779,Zesty Steakhouse,Chinese,Medium,Brooklyn Heights,11:30,23:30,3,False
780,Family Smoothie Bar,American,Cheap,Greenpoint,10:00,17:00,3,False
781,Fresh Winery,Chinese,Cheap,Long Island City,11:00,20:00,0,True
782,Island Lounge,Italian,Cheap,Jamaica,10:00,17:30,5,False
783,Oceanfront Cocktail Lounge,French,Cheap,Forest Hills,08:00,19:30,0,False
784,Cherry Blossom Smokehouse,Italian,Expensive,Crown Heights,08:30,14:30,5,True
785,Sunny Kitchenette,Mediterranean,Expensive,Jackson Heights,09:00,22:30,5,True
786,Rustic Taproom,Mediterranean,Expensive,Hunts Point,12:30,18:30,0,True
787,Mouthwatering Cookie Shop,Indian,Cheap,Chelsea,11:00,17:30,2,True
788,Gourmet Noodle House,Mediterranean,Cheap,Pelham Bay,08:00,19:00,3,True
789,Golden Gate Pub,Indian,Cheap,Belmont,09:30,18:30,1,False
790,Maplewood Yogurt Shop,Japanese,Cheap,Harlem,11:00,23:30,0,True
791,Underground Bakery Cafe,Thai,Medium,Upper East Side,11:00,17:00,0,False
792,Crisp Crepery,Indian,Cheap,Great Kills,10:30,23:00,4,False
793,Scrumptious Pizzeria,Italian,Medium,Astoria,10:30,22:00,1,False
794,Sizzling Cantina,American,Cheap,Flatbush,12:00,23:30,2,True
795,Hearty Grill,Mexican,Medium,Riverdale,08:30,21:30,4,True
796,Spicy Winery,Thai,Medium,Greenpoint,09:00,18:00,3,False
797,Rustic Inn,Mexican,Expensive,Hunts Point,09:00,17:00,2,True
798,Hilltop Sushi Bar,Chinese,Medium,Stapleton,09:30,20:00,1,False
799,Heavenly Whiskey Bar,Mexican,Expensive,Morris Park,12:00,20:30,0,False
800,Sapphire Crepery,Chinese,Expensive,Hunts Point,12:30,23:30,1,True
801,Family Kitchen,Japanese,Expensive,Bedford-Stuyvesant,11:30,23:00,1,True
802,Sizzle Diner,Indian,Medium,Long Island City,10:00,16:30,1,False
803,Valley Tea Room,Italian,Expensive,Williamsburg,10:30,16:00,4,False
804,Heavenly Cuisine,Italian,Medium,Eltingville,09:30,21:30,5,True
805,Yummy Cider House,American,Expensive,Belmont,09:00,19:00,0,False
806,Moonlight Winery,Chinese,Cheap,Upper East Side,09:30,19:30,2,False
807,Rustic Court,Indian,Medium,Westerleigh,09:30,22:30,5,False
808,Blue Bayou Juice Bar,American,Expensive,Tottenville,11:30,23:30,1,False
809,Tender Chophouse,French,Cheap,Greenwich Village,08:00,16:30,1,False
810,Sapphire Noodle House,Indian,Cheap,Harlem,10:00,22:30,1,False
811,Spice Route Cookie Shop,American,Expensive,Greenwich Village,10:30,18:30,4,True
812,Vintage Candy Store,Japanese,Medium,Mott Haven,08:30,14:30,2,True
813,Spicy Inn,French,Medium,Ridgewood,12:30,21:30,2,False
814,Tasty Fish House,Chinese,Cheap,Astoria,10:30,22:00,1,False
815,Rainforest Grill & Bar,Mediterranean,Expensive,Tompkinsville,11:30,21:00,2,True
816,Golden Gate Sushi Bar,Chinese,Cheap,Ridgewood,11:30,21:30,0,True
817,Island Fish House,Mexican,Expensive,Bedford-Stuyvesant,10:30,19:00,3,False
818,Fresh Oyster Bar,Japanese,Medium,Tompkinsville,11:30,23:00,3,True
819,Palatable Taproom,Thai,Expensive,Flatbush,10:00,19:30,2,False
820,Bamboo Grove Palace,Indian,Expensive,Prospect Heights,10:00,21:00,3,False
821,Serenity Kitchenette,Indian,Medium,Long Island City,09:30,18:30,1,True
822,Underground Court,Japanese,Medium,Park Slope,10:30,21:00,5,False
823,Rustic Doughnut Shop,Indian,Medium,Flushing,12:00,18:00,5,False
824,Mountain View Grill,Mexican,Cheap,Soundview,11:00,21:00,3,False
825,Rooftop Palace,Italian,Medium,Astoria,08:30,21:30,1,True
826,Retro Tavern,Indian,Medium,Crown Heights,08:00,16:30,3,True
827,Retro Tea Room,Mediterranean,Expensive,Jackson Heights,12:30,20:00,1,True
828,Sunset Burger Joint,Indian,Medium,Upper East Side,10:00,18:30,1,False
829,Moonshine Eatery,Italian,Medium,Crown Heights,11:30,17:00,3,False
830,Tropical Court,French,Medium,Upper West Side,10:30,17:00,0,True
831,Ivy League Frozen Yogurt Shop,American,Medium,Morris Park,11:30,22:30,5,False
832,Sensational Spot,Thai,Expensive,Belmont,09:00,18:00,5,False
833,Serenity House,Indian,Cheap,Greenpoint,11:30,17:30,4,True
834,Harbor View Winery,Chinese,Expensive,Bushwick,10:30,19:00,2,False
835,Vintage Cafeteria,Mexican,Expensive,Greenpoint,10:30,23:00,4,False
836,Aromatic Bar & Grill,American,Cheap,Mott Haven,10:00,18:00,2,True
837,Seaside Donut Store,Mexican,Expensive,Soundview,08:00,20:30,4,True
838,Quaint Court,French,Cheap,Soundview,08:00,15:30,3,False
839,Flavorful Cuisine,Mexican,Medium,Annadale,12:30,21:30,0,True
840,Bamboo Grove Lounge,Mediterranean,Medium,Upper East Side,12:00,20:00,2,False
841,Heavenly Joint,Indian,Cheap,Bushwick,09:30,15:00,1,True
842,Sandy Beach Bistro,Italian,Expensive,Annadale,08:00,19:00,4,True
843,Crisp Grill & Bar,Japanese,Expensive,Westerleigh,10:30,21:00,0,True
844,Coastal Lodge,French,Cheap,Upper West Side,08:00,18:30,2,True
845,Golden Gate Tea Room,Chinese,Expensive,Tottenville,10:00,18:30,4,True
846,Satisfying Smokehouse,French,Cheap,Belmont,11:30,21:00,0,False
847,Flavorful Whiskey Bar,Mediterranean,Expensive,Morris Park,12:00,22:30,0,True
848,Authentic Eatery,Mediterranean,Expensive,Stapleton,09:30,18:00,5,True
849,Juicy Alehouse,American,Medium,Woodside,12:00,22:00,2,True
850,Hilltop Burger Joint,Mediterranean,Expensive,Greenpoint,11:30,19:00,4,True
851,Authentic Dessert Bar,Thai,Cheap,Crown Heights,12:00,22:00,1,True
852,Gourmet Taproom,Mexican,Expensive,Stapleton,11:00,22:00,4,False
853,Serenity Joint,American,Expensive,SoHo,10:00,17:00,2,True
854,Heavenly Cantina,Mediterranean,Expensive,Great Kills,08:00,15:00,1,False
855,Wholesome Bakery,Mediterranean,Medium,Woodside,08:30,19:30,2,False
856,Coconut Cove Place,Chinese,Medium,Bedford-Stuyvesant,10:30,23:30,1,True
857,Orchid Joint,Thai,Cheap,Belmont,11:00,18:30,3,True
858,Countryside Pastry Shop,French,Expensive,Lower East Side,11:00,22:00,4,True
859,Homestyle Grill,American,Medium,Soundview,12:00,21:30,4,True
860,Spice Route House,Indian,Cheap,Ridgewood,10:30,22:00,0,False
861,Family Bistro,American,Medium,Greenpoint,08:00,18:30,3,False
862,Yummy Yogurt Shop,Mexican,Expensive,Astoria,09:30,16:30,2,False
863,Authentic Lodge,Indian,Cheap,Stapleton,08:30,14:30,0,True
864,Bamboo Grove Kitchenette,Chinese,Expensive,Jamaica,10:00,16:30,5,False
865,Sweet Pea Noodle House,Indian,Cheap,Fordham,11:00,19:00,0,False
866,Hilltop Restaurant,American,Cheap,Woodside,09:00,19:30,2,True
867,Cherry Blossom Fish House,Mexican,Medium,Williamsburg,12:00,18:30,1,True
868,Countryside Dive Bar,Italian,Medium,Greenpoint,09:00,17:00,4,True
869,Riverside Burger Joint,Indian,Medium,Hunts Point,12:00,23:00,1,False
870,Fresh Cantina,French,Expensive,Mott Haven,09:00,21:30,0,True
871,Rustic Speakeasy,Mediterranean,Medium,Upper West Side,12:00,21:30,2,True
872,Seaside Yogurt Shop,Chinese,Expensive,Brooklyn Heights,10:00,20:30,0,True
873,Rustic Parlor,Japanese,Expensive,Woodside,08:30,22:00,0,True
874,Homestyle Burger Joint,Italian,Expensive,Greenpoint,12:00,19:30,4,True
875,Maplewood Tapas Bar,Indian,Expensive,Riverdale,11:30,17:30,4,True
876,Brick Oven Juice Joint,Japanese,Expensive,Park Slope,09:00,15:00,2,False
877,Irresistible Vietnamese Restaurant,Thai,Cheap,Bedford-Stuyvesant,10:00,20:30,0,False
878,Riverside Creamery,Mediterranean,Medium,Mott Haven,09:30,15:30,4,True
879,Succulent House,Thai,Medium,Prospect Heights,10:30,23:00,5,True
880,Hearty Lodge,French,Cheap,Tribeca,11:30,17:30,4,False
881,Classic Eatery,French,Expensive,Tottenville,09:00,15:00,3,True
882,Retro Lodge,Thai,Cheap,Stapleton,08:30,21:00,2,False
883,Fresh Cafe,Italian,Cheap,Hunts Point,11:30,18:00,1,True
884,Blue Bayou Kitchenette,French,Expensive,Williamsburg,09:00,19:30,4,True
885,Delectable Ice Cream Parlor,Chinese,Expensive,Bedford-Stuyvesant,12:30,20:00,3,False
886,Delicious Dive Bar,Mediterranean,Medium,Mott Haven,09:00,20:00,1,False
887,Irresistible Place,French,Expensive,Tribeca,12:30,21:00,0,False
888,Spice Route Pastry Shop,Mexican,Cheap,Pelham Bay,10:30,18:00,3,True
889,Spicy Vineyard,Mediterranean,Cheap,Flushing,08:30,14:00,3,True
890,Rustic Smoothie Shop,Italian,Medium,Hunts Point,11:00,19:00,0,False
891,Sandy Beach Cafeteria,Mexican,Medium,Morris Park,11:30,22:30,5,True
892,Aromatic Ramen House,Thai,Cheap,Eltingville,09:00,21:00,1,True
893,Oceanic Chocolate Shop,Japanese,Expensive,Fordham,11:30,22:30,5,True
894,Coastal Brasserie,Mexican,Cheap,Bushwick,10:00,23:00,1,True
895,Family Cuisine,Japanese,Cheap,Brooklyn Heights,12:30,23:30,3,True
896,Flavorful Restaurant,American,Cheap,Stapleton,08:30,23:00,4,False
897,Sunset Grill,French,Expensive,Hunts Point,11:30,21:00,3,False
898,Delectable House,Mediterranean,Medium,Prospect Heights,12:30,19:30,5,False
899,Tender Vineyard,Thai,Expensive,Stapleton,09:00,17:00,3,True
900,Palatable House,American,Cheap,Lower East Side,08:30,14:00,1,True
901,Hilltop Gastropub,Mediterranean,Cheap,New Dorp,12:30,18:30,5,True
902,Blue Bayou Grill & Bar,Thai,Cheap,Soundview,10:00,23:00,0,False
903,Cherry Blossom Hideaway,Mexican,Cheap,Astoria,08:30,17:00,3,False
904,Yummy Cafeteria,Japanese,Medium,Upper West Side,11:30,21:30,1,False
905,Rustic Grill & Bar,Mexican,Medium,Bedford-Stuyvesant,08:30,23:30,5,False
906,Rooftop Speakeasy,Indian,Medium,Bedford-Stuyvesant,09:30,19:30,0,False
907,Hearty Joint,Mexican,Medium,Chelsea,10:00,16:30,0,True
908,Aromatic Brasserie,Italian,Medium,Greenpoint,08:30,23:00,3,True
909,Authentic Bakery Cafe,American,Medium,Long Island City,09:30,21:30,4,False
910,Zesty Cafeteria,Japanese,Medium,Midtown Manhattan,12:30,21:30,1,True
911,Flavorful Spot,Mediterranean,Medium,Park Slope,09:30,22:00,2,True
912,Lakefront Parlor,Indian,Medium,Bushwick,10:00,17:00,3,True
913,Rainforest Yogurt Shop,French,Medium,Eltingville,12:30,19:00,5,False
914,Cozy Brasserie,French,Cheap,SoHo,12:00,22:00,1,True
915,Hilltop Ice Cream Parlor,French,Expensive,Woodside,09:30,19:00,2,False
916,Scrumptious Coffeehouse,French,Cheap,Astoria,12:00,23:00,4,True
917,Spice Route Speakeasy,American,Expensive,Belmont,09:30,20:00,5,True
918,Gastronomic Grill,Indian,Expensive,Crown Heights,10:30,18:00,4,False
919,Orchid Steakhouse,Indian,Cheap,Throgs Neck,09:30,22:30,1,False
920,Succulent Brewpub,Japanese,Expensive,Park Slope,08:30,20:00,4,True
921,Flavorful Oyster House,Italian,Medium,Upper East Side,11:30,23:00,4,False
922,Zesty Brasserie,American,Medium,Tottenville,09:30,22:00,0,False
923,Royal Burger Joint,Mexican,Expensive,Harlem,10:00,16:00,1,False
924,Authentic Grill & Bar,Japanese,Expensive,Tompkinsville,08:00,19:30,1,False
925,Palm Tree Diner,Mediterranean,Cheap,Forest Hills,12:30,21:00,1,True
926,Wholesome Grill & Bar,Japanese,Expensive,Bedford-Stuyvesant,11:30,17:30,1,True
927,Vintage Cantina,Indian,Cheap,Westerleigh,09:30,23:30,2,True
928,Coastal Smoothie Bar,Indian,Cheap,Morris Park,11:00,20:00,2,False
929,Yummy Tearoom,American,Cheap,Eltingville,10:00,22:30,1,True
930,Juicy Brewpub,Italian,Expensive,Bushwick,12:30,23:30,5,False
931,Savory Tapas Bar,French,Medium,Upper West Side,09:30,17:30,4,True
932,Highlands Cake Shop,Italian,Cheap,Crown Heights,11:30,17:00,3,True
933,Tender Dive Bar,Chinese,Medium,Flushing,10:30,23:00,4,True
934,Tender Oyster Bar,Thai,Cheap,Throgs Neck,10:30,18:00,2,True
935,Divine Lounge,Indian,Medium,Ridgewood,11:30,17:30,0,False
936,Sunset Lounge,Italian,Cheap,Crown Heights,11:00,20:30,0,True
937,Delectable Oyster Bar,Thai,Expensive,Park Slope,12:00,21:00,5,True
938,Blue Bayou Tea Room,American,Medium,Morris Park,11:00,21:30,0,False
939,Vintage Cookie Shop,Japanese,Cheap,Tottenville,08:30,21:00,5,False
940,Coconut Cove Diner,Thai,Expensive,SoHo,11:00,18:30,1,False
941,Spice Route Ice Cream Parlor,Mediterranean,Medium,Chelsea,09:00,16:00,5,True
942,Aromatic Vineyard,American,Cheap,Chelsea,10:00,22:30,4,False
943,Scrumptious Cocktail Lounge,French,Expensive,Riverdale,12:00,19:00,0,True
944,Serenity Eatery,Thai,Medium,Flushing,09:00,16:30,5,False
945,Cherry Blossom Kitchen,American,Cheap,Greenwich Village,12:30,21:00,3,False
946,Pineapple Juice Joint,Mediterranean,Expensive,Brooklyn Heights,08:00,18:30,3,False
947,Sweet Pea Grill & Bar,Mediterranean,Medium,Flatbush,10:30,23:30,1,False
948,Palatable Creamery,Mediterranean,Expensive,Harlem,10:30,17:00,5,False
949,Heavenly Fish House,Thai,Medium,Flatbush,11:00,18:30,4,False
950,Fresh Winery,Mediterranean,Cheap,Westerleigh,09:00,22:30,2,False
951,Cherry Blossom Vineyard,Japanese,Expensive,Long Island City,12:30,21:00,4,False
952,Juicy Lounge,Japanese,Cheap,Crown Heights,10:30,19:30,1,True
953,Palatable Tea Room,American,Cheap,Bedford-Stuyvesant,08:30,21:00,5,True
954,Seaside Oyster House,French,Expensive,Pelham Bay,08:00,22:00,4,True
955,Firehouse Bar & Grill,French,Expensive,SoHo,09:00,19:00,3,False
956,Hilltop Yogurt Shop,Mediterranean,Medium,Hunts Point,08:00,18:30,0,True
957,Satisfying Chocolate Shop,American,Expensive,Westerleigh,09:00,16:30,0,False
958,Delicious Restaurant,Italian,Expensive,Lower East Side,12:00,21:30,1,False
959,Mouthwatering Joint,Italian,Medium,Tompkinsville,10:00,20:00,2,False
960,Retro Cocktail Lounge,American,Expensive,SoHo,11:00,21:30,1,False
961,Orchid Fish House,Indian,Expensive,Ridgewood,09:30,16:30,1,True
962,Flavorful Brasserie,Indian,Expensive,Upper West Side,09:30,17:00,5,False
963,Moonshine Bakery Cafe,Japanese,Medium,Stapleton,09:30,23:00,3,True
964,Exquisite Brasserie,Chinese,Expensive,Tribeca,11:30,21:30,5,False
965,Vintage Chophouse,Indian,Medium,Flushing,11:30,17:30,5,True
966,Classic Noodle House,Indian,Expensive,Lower East Side,08:30,16:00,3,True
967,Sandy Beach Deli,Indian,Cheap,Brooklyn Heights,10:30,16:30,2,False
968,Royal Eatery,Italian,Medium,Brooklyn Heights,11:00,18:30,2,False
969,Royal BBQ Joint,Japanese,Medium,Soundview,10:30,23:00,0,True
970,Brick Oven Seafood Shack,American,Medium,Stapleton,09:30,20:30,1,True
971,Brick Oven Gelato Shop,Italian,Medium,Forest Hills,09:00,20:00,4,True
972,Moonlight Grill,American,Cheap,Tompkinsville,09:00,17:30,0,False
973,Spice Route Candy Store,Chinese,Medium,Greenpoint,11:00,19:30,1,False
974,Island Cake Shop,American,Expensive,Prospect Heights,12:00,22:30,4,False
975,Sunny Grill,Indian,Expensive,Astoria,09:30,19:30,2,True
976,Riverside Dessert Bar,Thai,Cheap,Prospect Heights,09:00,18:30,4,True
977,Spicy Crepery,Japanese,Cheap,Upper East Side,09:30,23:30,4,False
978,Delicious Lodge,Italian,Expensive,Jamaica,10:30,22:30,0,False
979,Crisp Cuisine,American,Medium,Upper East Side,09:30,15:00,4,True
980,Sandy Beach Tearoom,Mediterranean,Medium,Brooklyn Heights,08:30,22:00,1,True
981,Tropical Doughnut Shop,Italian,Medium,Upper West Side,10:00,22:00,5,True
982,Yummy Burger Joint,Thai,Cheap,Harlem,11:00,17:30,0,True
983,Blue Bayou Burger Joint,Italian,Expensive,Tottenville,12:00,19:30,0,True
984,Foggy Cocktail Lounge,Mediterranean,Cheap,Ridgewood,08:30,16:30,5,True
985,Elegant Inn,Italian,Cheap,Prospect Heights,10:00,22:30,1,True
986,Charming Burger Joint,Italian,Medium,Riverdale,09:00,18:30,3,False
987,Fresh BBQ Joint,Indian,Expensive,Prospect Heights,10:30,22:00,1,True
988,Satisfying Lodge,Italian,Medium,Jackson Heights,12:30,20:30,2,False
989,Divine Seafood Shack,French,Expensive,Harlem,10:30,16:30,3,False
990,Flavorful Gastropub,Mediterranean,Expensive,Greenpoint,09:00,23:30,2,False
991,Savory Cuisine,Thai,Medium,Upper West Side,12:00,18:30,5,False
992,Sizzling Kitchenette,Indian,Expensive,Throgs Neck,08:30,23:30,3,True
993,Sapphire Brewpub,Mediterranean,Expensive,Park Slope,10:30,22:30,5,False
994,Highlands Brewery,Indian,Medium,Upper West Side,08:00,14:00,1,False
995,Brick Oven Joint,Indian,Medium,Long Island City,08:00,23:00,5,False
996,Highlands Ramen House,Mediterranean,Medium,Morris Park,10:00,18:30,2,True
997,Charming Speakeasy,Thai,Cheap,Harlem,09:30,22:30,5,True
998,Divine Fish House,Italian,Medium,Jamaica,09:30,19:30,2,True
999,Yummy Gastropub,Thai,Cheap,Midtown Manhattan,12:00,18:00,2,False
1000,Rainforest Doughnut Shop,Mediterranean,Medium,Brooklyn Heights,10:30,21:00,2,False
